A;B;
MT_F_0_30;0.00545185185185184;
MT_F_0_30;0.0144;
MT_F_0_30;0.010962962962963;
MT_F_100_30;0.0111407407407407;
MT_F_100_30;0.00930370370370369;
MT_F_100_30;0.00805925925925926;
MT_F_0_1h;0.015762962962963;
MT_F_0_1h;0.0122666666666667;
MT_F_0_1h;0.0169481481481482;
MT_F_100_1h;0.0154074074074074;
MT_F_100_1h;0.00687407407407407;
MT_F_100_1h;0.0145777777777778;
MT_F_0_2h;0.00788148148148147;
MT_F_0_2h;0.0117925925925926;
MT_F_0_2h;0.00918518518518517;
MT_F_100_2h;0.00847407407407408;
MT_F_100_2h;0.0132740740740741;
MT_F_100_2h;0.0052148148148148;
MT_F_0_3h;0.00811851851851851;
MT_F_0_3h;0.0102518518518519;
MT_F_0_3h;0.011437037037037;
MT_F_100_3h;0.0129777777777778;
MT_F_100_3h;0.0230518518518518;
MT_F_100_3h;0.00936296296296294;
yg2_F_0_30;0.223311636201516;
yg2_F_0_30;0.34905505438616;
yg2_F_0_30;0.244813515269656;
yg2_F_100_30;0.31604862225074;
yg2_F_100_30;0.144205935399246;
yg2_F_100_30;0.150502437990248;
yg2_F_0_1h;0.162248692037555;
yg2_F_0_1h;0.346328578068576;
yg2_F_0_1h;0.126124352760863;
yg2_F_100_1h;0.0604584362139918;
yg2_F_100_1h;0.21941184005856;
yg2_F_100_1h;0.237340938210374;
yg2_F_0_2h;0.162090121825921;
yg2_F_0_2h;0.396443523316062;
yg2_F_0_2h;0.699129094412331;
yg2_F_100_2h;0.216398795583807;
yg2_F_100_2h;1.055;
yg2_F_100_2h;0.222149954832882;
yg2_F_0_3h;0.0966222630531312;
yg2_F_0_3h;0.745429553264605;
yg2_F_0_3h;0.220932524526324;
yg2_F_100_3h;0.30676194642944;
yg2_F_100_3h;0.238862405369547;
yg2_F_100_3h;0.319268834051443;
